0;0;
1;0;
0;1;
1;0;
1;0;
0;0;
1;0;
0;0;
1;0;
0;0;
0;0;
2;0;
1;0;
1;1;
0;0;
0;0;
0;0;
0;0;
0;1;
0;0;
1;0;
0;0;
0;0;
0;1;
1;1;
1;0;
0;0;
1;0;
0;1;
1;0;
1;1;
0;0;
1;0;
0;1;
0;0;
1;0;
0;0;
0;0;
0;0;
1;1;
1;1;
0;0;
0;0;
1;1;
0;1;
1;0;
1;1;
0;1;
1;0;
0;0;
0;1;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
1;1;
0;0;
1;0;
1;0;1;
1;0;1;
0;0;0;
2;0;0;
0;0;0;
1;0;0;
0;1;1;
0;0;1;
1;1;2;
1;0;0;
0;0;0;
0;0;0;
1;0;1;
0;1;0;
0;0;1;
1;0;0;
0;2;0;
0;0;0;
0;2;0;
1;0;1;
0;0;0;
0;2;2;
0;0;0;
0;1;1;
0;1;1;
0;0;0;
0;1;0;
1;0;0;
1;0;1;
1;2;0;
0;1;0;
0;0;0;
1;1;0;
0;2;1;
0;0;1;
2;1;0;
1;0;0;
1;0;1;
1;0;0;
1;0;2;
1;0;0;
1;1;1;
0;0;1;
2;0;1;
0;1;1;
0;0;1;
1;0;0;
1;0;1;
0;2;0;
0;0;1;
0;1;1;
1;0;0;
0;0;1;
1;0;1;
0;1;0;
1;0;1;
1;1;1;
1;0;0;
1;0;1;
0;0;0;
1;0;0;1;
0;1;1;0;
0;1;1;0;
2;0;1;0;
0;1;0;0;
0;0;0;0;
0;0;0;0;
1;0;0;0;
0;0;0;0;
1;0;0;1;
0;0;1;0;
0;1;0;1;
0;1;0;0;
fail 4 in turn: 45
0;0;0;1;
0;0;0;0;
1;1;0;0;
0;0;1;0;
1;0;0;0;
1;0;0;0;
1;0;1;1;
2;0;1;0;
0;0;0;1;
2;0;0;0;
0;0;0;0;
0;0;0;1;
0;0;1;1;
0;1;2;1;
0;1;0;0;
0;0;0;0;
1;0;0;0;
0;0;1;0;
1;0;0;1;
0;0;0;0;
0;1;0;0;
0;0;0;0;
1;1;0;0;
0;1;1;1;
1;1;0;0;
1;1;0;1;
1;0;0;0;
1;0;1;0;
1;0;0;1;
0;0;1;0;
0;0;2;1;
0;1;1;0;
0;0;0;0;
0;0;0;0;
0;0;0;0;
0;0;0;0;
1;0;1;0;
0;0;0;0;
0;1;0;1;
1;0;1;0;
0;0;2;0;
1;1;1;1;
1;0;0;0;
0;0;0;1;
0;1;0;0;
1;0;0;1;
0;0;0;0;0;
0;1;1;0;0;
0;0;0;0;1;
fail 5 in turn: 40
0;0;1;0;0;
0;0;0;0;1;
0;1;0;0;1;
0;1;1;1;0;
0;0;0;0;0;
1;2;0;0;0;
1;1;1;1;1;
0;1;0;1;0;
0;1;0;0;0;
1;0;0;0;0;
1;1;0;1;0;
fail 5 in turn: 44
1;0;0;0;0;
fail 5 in turn: 45
1;1;1;0;0;
0;0;0;1;0;
0;0;0;1;0;
1;0;2;1;1;
0;1;0;0;0;
1;1;0;0;1;
1;0;1;0;1;
1;0;0;0;0;
1;0;0;2;0;
1;0;2;0;0;
1;1;1;1;1;
0;1;0;0;0;
0;0;0;1;0;
0;0;0;0;0;
0;0;0;0;0;
1;1;0;1;0;
0;0;0;0;1;
1;0;0;1;0;
2;0;0;0;1;
0;1;1;0;0;
0;1;0;0;0;
1;0;1;0;2;
0;0;1;1;2;
0;0;0;0;1;
1;0;1;0;1;
0;0;1;1;0;
1;0;0;0;0;
0;1;1;1;0;
0;0;0;1;1;
0;0;1;0;0;
1;1;0;0;0;
0;0;0;0;0;
fail 5 in turn: 39
0;1;0;0;0;
0;1;1;0;0;
0;0;0;0;1;
1;1;1;0;0;
0;0;0;0;1;
1;1;1;1;0;
0;0;0;1;0;
1;0;2;0;1;
0;1;0;0;1;
