4;5;
4;5;
4;4;
4;2;
5;6;
3;2;
3;3;
fail 2 in turn: 59
5;4;
2;1;
fail 2 in turn: 60
4;3;
fail 2 in turn: 60
fail 2 in turn: 61
3;4;
2;6;
3;2;
4;5;
4;3;
3;6;
2;5;
2;2;
4;2;
2;2;
4;4;
3;4;
2;4;
6;2;
3;3;
2;3;
fail 2 in turn: 61
fail 2 in turn: 60
3;3;
fail 2 in turn: 60
3;2;
3;2;
3;2;
2;4;
3;2;
fail 2 in turn: 63
5;4;
3;5;
5;1;
4;4;
2;4;
3;5;
1;1;
fail 2 in turn: 60
fail 2 in turn: 60
2;4;
1;3;
fail 2 in turn: 59
3;3;
5;5;
fail 2 in turn: 61
1;2;
3;4;
5;2;
6;4;
3;3;
3;6;2;
4;2;5;
3;4;2;
3;6;3;
1;2;3;
fail 3 in turn: 50
2;5;3;
2;2;4;
2;4;1;
4;3;1;
fail 3 in turn: 53
6;2;4;
4;3;1;
4;2;3;
3;4;2;
5;5;2;
3;4;3;
2;6;4;
6;6;3;
3;1;1;
4;2;2;
3;2;2;
2;5;2;
5;5;1;
4;4;3;
2;1;5;
3;2;3;
5;5;2;
5;2;2;
3;2;2;
5;2;4;
3;3;1;
fail 3 in turn: 51
2;3;4;
6;1;2;
2;5;3;
2;3;6;
2;4;6;
0;2;2;
1;4;2;
3;2;6;
1;1;1;
3;4;6;
2;5;3;
4;1;3;
7;2;4;
3;6;2;
fail 3 in turn: 52
2;5;4;
5;5;3;
2;5;2;
1;3;4;
6;2;3;
2;3;6;
5;3;2;
2;3;1;
3;1;0;
4;0;3;
5;1;4;
3;5;2;
2;2;3;1;
fail 4 in turn: 48
fail 4 in turn: 43
2;3;3;5;
2;4;7;3;
3;4;2;3;
1;4;3;2;
2;3;3;6;
5;3;2;3;
3;3;4;3;
2;3;6;7;
5;2;4;4;
3;2;2;4;
3;3;4;2;
3;5;1;2;
4;2;6;4;
4;2;4;4;
4;2;6;2;
2;2;4;4;
4;4;2;2;
3;2;6;5;
4;2;3;3;
4;1;2;3;
2;4;4;2;
3;4;3;5;
1;2;6;3;
4;2;1;3;
2;6;3;2;
3;4;3;1;
2;2;3;3;
4;5;2;1;
4;3;2;3;
5;5;5;2;
5;2;5;1;
fail 4 in turn: 44
0;1;4;1;
5;2;3;4;
2;4;2;5;
5;2;4;4;
2;4;5;5;
2;2;3;1;
fail 4 in turn: 41
3;2;2;4;
4;2;3;3;
3;4;1;5;
4;1;1;1;
2;2;5;4;
4;3;0;1;
4;4;3;1;
4;6;2;2;
6;2;3;3;
3;3;2;2;
2;5;2;3;
5;5;2;2;
2;4;4;3;
2;3;3;2;
2;2;4;2;
5;2;5;5;
3;6;2;3;
fail 4 in turn: 47
2;2;4;2;2;
2;6;3;4;3;
fail 5 in turn: 38
3;3;2;2;4;
3;4;2;3;1;
2;1;5;3;2;
3;3;2;4;2;
4;2;4;0;2;
4;4;2;2;0;
3;2;4;3;4;
fail 5 in turn: 36
2;3;5;2;1;
1;4;3;3;3;
4;2;4;2;3;
fail 5 in turn: 38
2;3;1;2;3;
fail 5 in turn: 37
fail 5 in turn: 41
fail 5 in turn: 39
fail 5 in turn: 33
fail 5 in turn: 39
fail 5 in turn: 37
fail 5 in turn: 40
fail 5 in turn: 40
2;3;5;4;2;
fail 5 in turn: 39
fail 5 in turn: 41
fail 5 in turn: 39
3;6;4;2;3;
6;2;3;2;1;
3;2;2;4;3;
fail 5 in turn: 39
3;3;4;2;3;
fail 5 in turn: 43
5;2;4;3;2;
fail 5 in turn: 42
5;3;4;3;2;
3;3;2;3;1;
3;4;2;2;4;
fail 5 in turn: 37
fail 5 in turn: 40
fail 5 in turn: 38
1;3;2;2;1;
2;4;3;2;2;
5;3;5;1;1;
fail 5 in turn: 40
2;4;3;2;3;
2;4;1;4;3;
4;2;3;2;3;
2;2;4;2;3;
4;2;3;4;4;
fail 5 in turn: 38
fail 5 in turn: 37
fail 5 in turn: 40
fail 5 in turn: 36
5;4;4;2;4;
2;4;3;3;4;
fail 5 in turn: 44
4;3;4;5;3;
5;3;3;3;1;
