0,0,761.47125,7.6147127,0.1073,240,240,0,200,0,0,-,1.6958333333333333
1,100,64.92313,0.6492313,0.6888,240,1,123,-3,835,239,81.62994011976048,40.75
2,200,49.007214,0.49007213,0.7999,240,32,144,26,702,208,87.22792022792022,42.225
3,300,60.98826,0.6098826,0.6916,240,4,125,3,824,236,75.68567961165049,39.4375
4,400,33.29799,0.3329799,0.8849,240,47,151,14,654,193,94.80122324159021,44.25416666666667
5,500,28.517506,0.28517506,0.9076,240,69,155,37,540,171,98.21296296296296,44.15416666666667
6,600,31.646547,0.31646547,0.8557,240,102,168,33,425,138,96.16941176470588,46.55416666666667
7,700,17.970129,0.17970128,0.9356,240,53,159,36,627,187,98.47687400318979,43.795833333333334
8,800,15.964102,0.15964101,0.9384,240,66,154,39,582,174,98.0721649484536,44.045833333333334
9,900,15.655942,0.15655942,0.9425,240,44,150,47,684,196,98.3172514619883,43.92916666666667
